value,timestamp
78.12,2020-03-29T11:25:04.000Z
79.16,2020-03-29T11:30:04.000Z
79.88,2020-03-29T11:35:04.000Z
79.55,2020-03-29T11:40:04.000Z
82.28,2020-03-29T11:45:04.000Z
83.56,2020-03-29T11:50:04.000Z
84.01,2020-03-29T11:55:04.000Z
84.37,2020-03-29T12:00:04.000Z
86.24,2020-03-29T12:05:04.000Z
87.38,2020-03-29T12:10:05.000Z
87.90,2020-03-29T12:15:05.000Z
88.31,2020-03-29T12:20:05.000Z
88.10,2020-03-29T12:25:05.000Z
88.73,2020-03-29T12:30:05.000Z
89.46,2020-03-29T12:35:05.000Z
89.42,2020-03-29T12:40:05.000Z
89.52,2020-03-29T12:45:05.000Z
89.46,2020-03-29T12:50:05.000Z
89.56,2020-03-29T12:55:05.000Z
89.15,2020-03-29T13:00:05.000Z
89.11,2020-03-29T13:05:05.000Z
89.11,2020-03-29T13:10:06.000Z
value,timestamp
value,timestamp
value,timestamp
34.97,2020-04-02T13:49:38.000Z
41.11,2020-04-02T13:54:38.000Z
41.14,2020-04-02T13:59:38.000Z
42.63,2020-04-02T14:04:38.000Z
45.04,2020-04-02T14:09:38.000Z
44.59,2020-04-02T14:14:38.000Z
47.07,2020-04-02T14:19:38.000Z
52.36,2020-04-02T14:24:38.000Z
51.44,2020-04-02T14:29:38.000Z
53.69,2020-04-02T14:34:38.000Z
54.16,2020-04-02T14:39:38.000Z
51.39,2020-04-02T14:44:38.000Z
51.21,2020-04-02T14:49:38.000Z
51.34,2020-04-02T14:54:38.000Z
52.69,2020-04-02T14:59:39.000Z
52.69,2020-04-02T15:04:39.000Z
54.53,2020-04-02T15:09:39.000Z
52.08,2020-04-02T15:14:39.000Z
52.39,2020-04-02T15:19:39.000Z
51.69,2020-04-02T15:24:39.000Z
53.85,2020-04-02T15:29:39.000Z
49.93,2020-04-02T15:34:39.000Z
50.34,2020-04-02T15:39:39.000Z
54.72,2020-04-02T15:44:39.000Z
51.64,2020-04-02T15:49:39.000Z
54.82,2020-04-02T15:54:39.000Z
53.10,2020-04-02T15:59:39.000Z
51.46,2020-04-02T16:04:39.000Z
50.85,2020-04-02T16:09:39.000Z
51.98,2020-04-02T16:14:39.000Z
51.59,2020-04-02T16:19:39.000Z
51.69,2020-04-02T16:24:39.000Z
50.15,2020-04-02T16:29:39.000Z
50.97,2020-04-02T16:34:39.000Z
51.48,2020-04-02T16:39:40.000Z
51.28,2020-04-02T16:44:40.000Z
50.05,2020-04-02T16:49:40.000Z
48.51,2020-04-02T16:54:40.000Z
