sensorID,value,timestamp,longitude,latitude,hight
5d5d1209953683001a3f93f9,35.50,2020-08-27T15:02:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,35.94,2020-08-27T15:07:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,37.46,2020-08-27T15:12:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,38.07,2020-08-27T15:17:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,39.00,2020-08-27T15:22:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,39.50,2020-08-27T15:27:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,37.85,2020-08-27T15:32:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,34.97,2020-08-27T15:37:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,32.21,2020-08-27T15:42:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,31.73,2020-08-27T15:47:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,31.63,2020-08-27T15:52:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,29.90,2020-08-27T15:57:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,30.27,2020-08-27T16:02:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,33.97,2020-08-27T16:07:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,35.22,2020-08-27T16:12:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,37.07,2020-08-27T16:17:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,36.14,2020-08-27T16:22:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,37.18,2020-08-27T16:27:54.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,36.67,2020-08-27T16:32:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,37.99,2020-08-27T16:37:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,38.44,2020-08-27T16:42:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,39.07,2020-08-27T16:47:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,39.92,2020-08-27T16:52:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,40.44,2020-08-27T16:57:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,41.55,2020-08-27T17:02:55.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,43.19,2020-08-27T17:07:55.000Z,8.71,51.75,102.00
