value,createdAt
18.65,2019-09-05T14:09:25.000Z
18.65,2019-09-05T14:08:55.000Z
18.63,2019-09-05T14:08:25.000Z
18.63,2019-09-05T14:07:54.000Z
18.65,2019-09-05T14:07:24.000Z
18.63,2019-09-05T14:06:54.000Z
18.65,2019-09-05T14:06:24.000Z
18.65,2019-09-05T14:05:54.000Z
18.65,2019-09-05T14:05:24.000Z
18.63,2019-09-05T14:04:53.000Z
18.63,2019-09-05T14:04:23.000Z
18.66,2019-09-05T14:03:53.000Z
18.66,2019-09-05T14:03:23.000Z
18.65,2019-09-05T14:02:53.000Z
18.66,2019-09-05T14:02:23.000Z
18.65,2019-09-05T14:01:53.000Z
18.68,2019-09-05T14:01:23.000Z
18.66,2019-09-05T14:00:53.000Z
18.66,2019-09-05T14:00:22.000Z
18.66,2019-09-05T13:59:52.000Z
18.68,2019-09-05T13:59:22.000Z
18.70,2019-09-05T13:58:52.000Z
18.70,2019-09-05T13:58:22.000Z
18.70,2019-09-05T13:57:52.000Z
18.71,2019-09-05T13:57:22.000Z
18.70,2019-09-05T13:56:52.000Z
18.70,2019-09-05T13:56:22.000Z
18.70,2019-09-05T13:55:51.000Z
18.71,2019-09-05T13:55:21.000Z
18.70,2019-09-05T13:54:51.000Z
18.70,2019-09-05T13:54:21.000Z
18.70,2019-09-05T13:53:51.000Z
18.70,2019-09-05T13:53:21.000Z
18.68,2019-09-05T13:52:51.000Z
18.68,2019-09-05T13:52:21.000Z
18.66,2019-09-05T13:51:51.000Z
18.65,2019-09-05T13:51:20.000Z
18.66,2019-09-05T13:50:50.000Z
18.65,2019-09-05T13:50:20.000Z
18.66,2019-09-05T13:49:50.000Z
18.66,2019-09-05T13:49:20.000Z
18.65,2019-09-05T13:48:50.000Z
18.65,2019-09-05T13:48:20.000Z
18.62,2019-09-05T13:47:50.000Z
18.65,2019-09-05T13:47:20.000Z
18.65,2019-09-05T13:46:50.000Z
18.63,2019-09-05T13:46:19.000Z
18.63,2019-09-05T13:45:49.000Z
18.63,2019-09-05T13:45:19.000Z
18.65,2019-09-05T13:44:49.000Z
18.65,2019-09-05T13:44:19.000Z
18.63,2019-09-05T13:43:49.000Z
18.65,2019-09-05T13:43:19.000Z
18.65,2019-09-05T13:42:49.000Z
18.65,2019-09-05T13:42:19.000Z
18.63,2019-09-05T13:41:48.000Z
18.65,2019-09-05T13:41:18.000Z
18.65,2019-09-05T13:40:48.000Z
18.65,2019-09-05T13:40:18.000Z
18.65,2019-09-05T13:39:48.000Z
18.65,2019-09-05T13:39:18.000Z
18.66,2019-09-05T13:38:48.000Z
18.65,2019-09-05T13:38:18.000Z
18.66,2019-09-05T13:37:48.000Z
18.65,2019-09-05T13:37:17.000Z
18.65,2019-09-05T13:36:47.000Z
18.63,2019-09-05T13:36:17.000Z
18.63,2019-09-05T13:35:47.000Z
18.65,2019-09-05T13:35:17.000Z
18.65,2019-09-05T13:34:47.000Z
18.63,2019-09-05T13:34:16.000Z
18.63,2019-09-05T13:33:46.000Z
18.63,2019-09-05T13:33:16.000Z
18.62,2019-09-05T13:32:46.000Z
18.65,2019-09-05T13:32:16.000Z
18.63,2019-09-05T13:31:46.000Z
18.63,2019-09-05T13:31:16.000Z
18.62,2019-09-05T13:30:46.000Z
18.60,2019-09-05T13:30:16.000Z
18.62,2019-09-05T13:29:46.000Z
18.62,2019-09-05T13:29:15.000Z
18.62,2019-09-05T13:28:45.000Z
18.63,2019-09-05T13:28:15.000Z
18.62,2019-09-05T13:27:45.000Z
18.63,2019-09-05T13:27:15.000Z
18.62,2019-09-05T13:26:45.000Z
18.62,2019-09-05T13:26:15.000Z
18.62,2019-09-05T13:25:45.000Z
18.63,2019-09-05T13:25:15.000Z
18.63,2019-09-05T13:24:45.000Z
18.63,2019-09-05T13:24:14.000Z
18.63,2019-09-05T13:23:44.000Z
18.62,2019-09-05T13:23:14.000Z
